seq,control,fixture_id,packet_hash,outcome,input_tokens,output_tokens,stop_reason,cache_key
0,reference,mt_010441491,fe1d269c0d7c23607ee90b882e2073e8a6770034de6bad0037299cec0276ce23,COMPLETED,20160,2559,tool_use,8137bb113aebc395f73c75376fc35cad26ab3925dda9991a66fe33c659ba6c6d
1,reference,mt_012232295,354341bb6f586d7f156d73fa3f37b003b517a38c19fb61092d5a843bfb06361a,COMPLETED,20156,2521,tool_use,1878a77cd35d487bc1769a2d281817eae909ef18b444242dd7c1a1d6270864b2
2,reference,mt_010243515,b6850835fe960607511067db9ddab4ca3fca984a0f67ceb79a4a7f92f9e853e4,COMPLETED,20165,2738,tool_use,e344a3fd21e35255cd4c3ec29f52da4a238518c76577c3a8b2ae859d7e513bcd
3,reference,mt_010243938,11580c1bd6d7bb65faf4c2121254cb80e2ef4735e4384113d09b8ddaaee1f9ae,COMPLETED,20160,2926,tool_use,88000c164fb40dc55a8d20e1186e92c4d9fb61dae08336380cc4cea43d36ff97
4,reference,mt_010441320,0eec1200e7c2c9c3b87702263d7639d0b5f817d2c7771ebc4cc15d6f059c590a,COMPLETED,20189,2829,tool_use,5ab5ad67b72ecf5dd8f72a77e1ec17715bb8ce3d011ab88d30cebf1f6e911570
5,reference,mt_010244193,cbe7696b7f3a8f83b46e33ea538fb80898220f811970146aa2fb3d87ac132c6f,COMPLETED,20184,2612,tool_use,58875582ec7ca4dc4f391269afc4a577d7c68d01621928dbc48ed3033993fc43
6,reference,mt_010244159,9ad28ea4dabdcd04ba8b8491bc66a46d681e41ca6ef9e15e8e261e467e084855,COMPLETED,20165,2586,tool_use,b05318cd92f0633689d42fb056cb6980e74aabb09a2dadeb5712609804a427d2
7,reference,mt_013233190,9e299300a5668c7de4ed518380e602ea65a3b10cc747987c6edf075a08951ceb,COMPLETED,20144,2611,tool_use,ee7d9f73e8d99165ba26b65b3ebdac3efcdaed12fa6104b5d931723e37e347ae
8,reference,mt_010444904,3a464720dfbad42a378ac07d7339eb5624db9d58de5276ca5a6a7cd89ebde1f4,COMPLETED,20219,2727,tool_use,c9289a536160f2e1faeb6c23c83a7740ebba8b80aada091ea74f3647de75a661
9,reference,mt_012232411,9ec9f0cc535a72f5fc82c0421614ef062d6b07d813f5711909d2f7415b3cfa65,COMPLETED,19712,2913,tool_use,215ac6277b6bddf19a3f3464d8480805d9d73cae886f7ea4f3625d6370c6991c
10,reference,mt_010243537,52c2ce304d8cf12acc70200a56d52ba9ae30bff363e78a5fe0b479eae9546da3,COMPLETED,20199,2683,tool_use,80fc790facc002c3429e4c44483046029863b040d05f83a4101f5b9e250ed801
11,reference,mt_010443150,a979b92789afe28ae51674fe1e1811b94835ee26ff58a2ddf83b8c375523e1a8,COMPLETED,20166,2614,tool_use,7cfe45d92ce349e5549f0da2f1b74a86b43f77cf5f0acea499631038083e1208
12,repeatability,mt_010441491,fe1d269c0d7c23607ee90b882e2073e8a6770034de6bad0037299cec0276ce23,COMPLETED,20160,2561,tool_use,44c129d5a9872e442718911541907eceec19ca7077770bf41fa0376d70032e37
13,repeatability,mt_012232295,354341bb6f586d7f156d73fa3f37b003b517a38c19fb61092d5a843bfb06361a,COMPLETED,20156,2699,tool_use,983938273ff7d07d020c8674cb79c65dc0581b0a26f2213097ca8796fa9a3eb9
14,repeatability,mt_010243515,b6850835fe960607511067db9ddab4ca3fca984a0f67ceb79a4a7f92f9e853e4,COMPLETED,20165,2686,tool_use,80e8ec5e2c111f6b2d72a686baffd9b734c96aa9ec75f07c5351d0cdfc92aa5d
15,repeatability,mt_010243938,11580c1bd6d7bb65faf4c2121254cb80e2ef4735e4384113d09b8ddaaee1f9ae,COMPLETED,20160,3039,tool_use,538f4280920aa4a6b8b976db2f8c924ca04b2e2fed34e0026a429122c79ae30a
16,repeatability,mt_010441320,0eec1200e7c2c9c3b87702263d7639d0b5f817d2c7771ebc4cc15d6f059c590a,COMPLETED,20189,2783,tool_use,39e42e2d6c48169be405eda2402b0d777129a94abdf3c3ceec1f0a11a645a985
17,repeatability,mt_010244193,cbe7696b7f3a8f83b46e33ea538fb80898220f811970146aa2fb3d87ac132c6f,COMPLETED,20184,2662,tool_use,a3ccf3a1cf70c6a11a8d07be080731a1ecd566c6c8eacd17d696085f97ab1c04
18,repeatability,mt_010441491,fe1d269c0d7c23607ee90b882e2073e8a6770034de6bad0037299cec0276ce23,COMPLETED,20160,2871,tool_use,4abb3acceeb7b23159c4d37f12ebdce80104d8d019dccded6c61359268a38c30
19,repeatability,mt_012232295,354341bb6f586d7f156d73fa3f37b003b517a38c19fb61092d5a843bfb06361a,COMPLETED,20156,2525,tool_use,472444ae34dd02a19c8e3ec4c0ff7380224cae6e88d61a53adc9d912eac3e0e8
20,repeatability,mt_010243515,b6850835fe960607511067db9ddab4ca3fca984a0f67ceb79a4a7f92f9e853e4,COMPLETED,20165,2672,tool_use,97e307e9f4710febc22526fe93453d9c10c9635557eb1847a0c30f5dd2842060
21,repeatability,mt_010243938,11580c1bd6d7bb65faf4c2121254cb80e2ef4735e4384113d09b8ddaaee1f9ae,COMPLETED,20160,3066,tool_use,9cce15e35b3870ec7616f529a2822a93aa1aeece1ab775f9fab3c52308a9c271
22,repeatability,mt_010441320,0eec1200e7c2c9c3b87702263d7639d0b5f817d2c7771ebc4cc15d6f059c590a,COMPLETED,20189,2632,tool_use,5aafe0b1ae11ac7bbfda9c17a51643c8cbbaab4adaad9d0db398f60a1909b7ef
23,repeatability,mt_010244193,cbe7696b7f3a8f83b46e33ea538fb80898220f811970146aa2fb3d87ac132c6f,COMPLETED,20184,2612,tool_use,3a290e751e5c31c2b3bde5059704fb314dbb0aacd6d80ee25b8e2c831029e1b1
24,identity_alias,mt_010441491,ba2062b2d79f2488f8397aa3dc8a101c1c3e6438328d1e82d7d59a42955ead80,COMPLETED,20168,2583,tool_use,2bbe5bcf1b9b5b9fb30800a12f06cc919659a314a1860e28af056526076cdc65
25,identity_alias,mt_012232295,c5b14fd906875de91b837bdc083f5c12272dc979fa6310988d607248295c1f3c,COMPLETED,20156,2570,tool_use,0813ca09681d87e90c780695bc1702a57724888510ab36549e86e24a6191d177
26,identity_alias,mt_010243515,dcc0055bc7a5c3670a4a1abf5241ef88e12ad14ee5da9f0e8962fd0c53098e6c,COMPLETED,20172,2656,tool_use,a0cd3f17fae0550bc01f1c5a67c2631ffa725d6f0ae42f05a3e600b6d4cf00e6
