seq,control,fixture_id,packet_hash,outcome,whole_response_failure,input_tokens,output_tokens,stop_reason,cache_key
0,reference,mt_010441491,fe1d269c0d7c23607ee90b882e2073e8a6770034de6bad0037299cec0276ce23,COMPLETED,,21457,2461,tool_use,9bc0cf28a9f2242d41fab1f97d3ac0a69e2e210f30aae8dfeaf260eb49f3ce6e
1,reference,mt_012232295,354341bb6f586d7f156d73fa3f37b003b517a38c19fb61092d5a843bfb06361a,COMPLETED,,21251,3176,tool_use,15ea26284b62636047070974a2f10a8edd21a47461427ffd83df01d718861495
2,reference,mt_010243515,b6850835fe960607511067db9ddab4ca3fca984a0f67ceb79a4a7f92f9e853e4,COMPLETED,,21466,2484,tool_use,e824faed6d73bbbab4442b8592941ea394a9786cdbc46f5ee28049dc20ba11fa
3,reference,mt_010243938,11580c1bd6d7bb65faf4c2121254cb80e2ef4735e4384113d09b8ddaaee1f9ae,COMPLETED,,21457,3195,tool_use,418fd8c59243baa0abc25de7a5f7264557f11cdba6f0428c265172f5a71694f8
4,reference,mt_010441320,0eec1200e7c2c9c3b87702263d7639d0b5f817d2c7771ebc4cc15d6f059c590a,COMPLETED,,21424,2891,tool_use,70f1f1c7478a057ba5e9c8a373d394f60394c5b211862717e840f5ce94e18692
5,reference,mt_010244193,cbe7696b7f3a8f83b46e33ea538fb80898220f811970146aa2fb3d87ac132c6f,COMPLETED,,21419,1990,tool_use,5d3c43633b7dd45824cd63154d1c3c95715ac3098fa5f4cd6f77a9e45eee2579
6,reference,mt_010244159,9ad28ea4dabdcd04ba8b8491bc66a46d681e41ca6ef9e15e8e261e467e084855,COMPLETED,,21462,2309,tool_use,3fa09751e6dd9de7f3fd5f1a7bf69f3cc71d76d920eacd0138af2fb8f6e44e29
7,reference,mt_013233190,9e299300a5668c7de4ed518380e602ea65a3b10cc747987c6edf075a08951ceb,COMPLETED,,21445,1891,tool_use,683c33a80db150bebd7754349ae703dfac8ee31e251fc287da1516e1862ab0d2
8,reference,mt_010444904,3a464720dfbad42a378ac07d7339eb5624db9d58de5276ca5a6a7cd89ebde1f4,COMPLETED,,21454,2356,tool_use,b515a838e83bdfe03dc005a204fbcb8048da51659106a6d1a58ee7331d5d2591
9,reference,mt_012232411,9ec9f0cc535a72f5fc82c0421614ef062d6b07d813f5711909d2f7415b3cfa65,COMPLETED,,20812,2620,tool_use,dbd96f911ac45bfc306429e547e067935dbbd65750015efbd857acc860089bd3
10,reference,mt_010243537,52c2ce304d8cf12acc70200a56d52ba9ae30bff363e78a5fe0b479eae9546da3,COMPLETED,,21275,2592,tool_use,e865e4177d62dca7c96ac29d03fb020ccd398f9759b8b38c2cd08a30cab4337d
11,reference,mt_010443150,a979b92789afe28ae51674fe1e1811b94835ee26ff58a2ddf83b8c375523e1a8,COMPLETED,LATENT_GRADING_VIOLATION,21463,2949,tool_use,e208f8868c57a358040ecee46cf65dcfd0cb19c91fcae66170a8fc163ff9f768
12,repeatability,mt_010441491,fe1d269c0d7c23607ee90b882e2073e8a6770034de6bad0037299cec0276ce23,COMPLETED,,21457,2580,tool_use,bb39f2841527b8a1153fcf93419876c64641ace3936038e6ff0a4f2f0ea1e178
13,repeatability,mt_010441491,fe1d269c0d7c23607ee90b882e2073e8a6770034de6bad0037299cec0276ce23,COMPLETED,,21457,2441,tool_use,c2b6c54069592fc9f09af3853279b2de4f98b66f5947262cdb7d8b2578efd164
14,repeatability,mt_012232295,354341bb6f586d7f156d73fa3f37b003b517a38c19fb61092d5a843bfb06361a,COMPLETED,,21251,2720,tool_use,8b87e4d5edcf2b4ed8302969a6b88ef17fc52000a350711a1c201ae5a2221e91
