metric,all_period_source,half_split_available,raw_group_stat,provider,definition
big_chances,rich:big_chances,False,,thestatsapi,"team big_chances (for/against), PIT rolling, shrunk"
blocked_shots,rich:blocked_shots,True,shots/blocked_shots,thestatsapi,"team blocked_shots (for/against), PIT rolling, shrunk"
clearances,rich:clearances,True,defending/clearances,thestatsapi,"team clearances (for/against), PIT rolling, shrunk"
corners,rich:corner_kicks,True,overview/corner_kicks,thestatsapi,"team corners (for/against), PIT rolling, shrunk"
crosses,rich:accurate_crosses,True,passes/accurate_crosses,thestatsapi,"team crosses (for/against), PIT rolling, shrunk"
final_third_entries,rich:final_third_entries,True,passes/final_third_entries,thestatsapi,"team final_third_entries (for/against), PIT rolling, shrunk"
fouls,rich:fouls,True,overview/fouls,thestatsapi,"team fouls (for/against), PIT rolling, shrunk"
interceptions,rich:interceptions,True,defending/interceptions,thestatsapi,"team interceptions (for/against), PIT rolling, shrunk"
npxg,rich:np_expected_goals,False,,thestatsapi,"team npxg (for/against), PIT rolling, shrunk"
possession,extra:possession,True,overview/ball_possession,thestatsapi,"team possession (for/against), PIT rolling, shrunk"
saves,rich:saves,False,,thestatsapi,"team saves (for/against), PIT rolling, shrunk"
shots_inside_box,rich:shots_inside_box,True,shots/shots_inside_box,thestatsapi,"team shots_inside_box (for/against), PIT rolling, shrunk"
shots_on_target,rich:shots_on_target,True,shots/shots_on_target,thestatsapi,"team shots_on_target (for/against), PIT rolling, shrunk"
shots_outside_box,rich:shots_outside_box,False,,thestatsapi,"team shots_outside_box (for/against), PIT rolling, shrunk"
tackles,rich:tackles,True,defending/tackles,thestatsapi,"team tackles (for/against), PIT rolling, shrunk"
throw_ins,extra:throw_ins,True,passes/throw_ins,thestatsapi,"team throw_ins (for/against), PIT rolling, shrunk"
total_shots,extra:total_shots,True,shots/total_shots,thestatsapi,"team total_shots (for/against), PIT rolling, shrunk"
touches_in_box,rich:touches_in_penalty_area,True,attack/touches_in_penalty_area,thestatsapi,"team touches_in_box (for/against), PIT rolling, shrunk"
yellow_cards,base,True,overview/yellow_cards,thestatsapi,"team yellow_cards (for/against), PIT rolling, shrunk"
