level,team_formation,opp_formation,metric,value,sample_n
FAMILY_x_FAMILY,BACK3_OTHER,BACK3_WINGBACK,clearances,25.5,6
FAMILY_x_FAMILY,BACK3_OTHER,BACK3_WINGBACK,corners,5.1667,6
FAMILY_x_FAMILY,BACK3_OTHER,BACK3_WINGBACK,crosses,3.0,6
FAMILY_x_FAMILY,BACK3_OTHER,BACK4_1STRIKER,clearances,25.7273,11
FAMILY_x_FAMILY,BACK3_OTHER,BACK4_1STRIKER,corners,3.5455,11
FAMILY_x_FAMILY,BACK3_OTHER,BACK4_1STRIKER,crosses,3.4545,11
FAMILY_x_FAMILY,BACK3_OTHER,BACK4_2STRIKER,clearances,24.6,5
FAMILY_x_FAMILY,BACK3_OTHER,BACK4_2STRIKER,corners,4.4,5
FAMILY_x_FAMILY,BACK3_OTHER,BACK4_2STRIKER,crosses,6.0,5
FAMILY_x_FAMILY,BACK3_OTHER,BACK5_DEFENSIVE,clearances,21.75,4
FAMILY_x_FAMILY,BACK3_OTHER,BACK5_DEFENSIVE,corners,5.75,4
FAMILY_x_FAMILY,BACK3_OTHER,BACK5_DEFENSIVE,crosses,8.25,4
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK3_OTHER,clearances,29.0,6
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK3_OTHER,corners,4.0,6
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK3_OTHER,crosses,3.6667,6
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK3_WINGBACK,clearances,25.7778,72
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK3_WINGBACK,corners,4.6528,72
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK3_WINGBACK,crosses,4.4722,72
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK4_1STRIKER,clearances,26.8011,186
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK4_1STRIKER,corners,4.4086,186
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK4_1STRIKER,crosses,4.0269,186
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK4_2STRIKER,clearances,24.7,20
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK4_2STRIKER,corners,4.85,20
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK4_2STRIKER,crosses,4.1,20
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK5_DEFENSIVE,clearances,24.6842,19
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK5_DEFENSIVE,corners,4.7895,19
FAMILY_x_FAMILY,BACK3_WINGBACK,BACK5_DEFENSIVE,crosses,4.0526,19
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK3_OTHER,clearances,25.4545,11
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK3_OTHER,corners,5.8182,11
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK3_OTHER,crosses,4.1818,11
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK3_WINGBACK,clearances,25.1989,186
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK3_WINGBACK,corners,5.3548,186
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK3_WINGBACK,crosses,4.2742,186
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK4_1STRIKER,clearances,24.1093,668
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK4_1STRIKER,corners,4.8937,668
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK4_1STRIKER,crosses,4.1946,668
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK4_2STRIKER,clearances,22.5506,178
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK4_2STRIKER,corners,4.9045,178
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK4_2STRIKER,crosses,4.3483,178
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK5_DEFENSIVE,clearances,21.8659,82
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK5_DEFENSIVE,corners,5.0244,82
FAMILY_x_FAMILY,BACK4_1STRIKER,BACK5_DEFENSIVE,crosses,4.6341,82
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK3_OTHER,clearances,22.2,5
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK3_OTHER,corners,3.8,5
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK3_OTHER,crosses,4.0,5
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK3_WINGBACK,clearances,24.95,20
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK3_WINGBACK,corners,5.1,20
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK3_WINGBACK,crosses,3.15,20
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK4_1STRIKER,clearances,24.2921,178
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK4_1STRIKER,corners,4.5225,178
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK4_1STRIKER,crosses,4.1348,178
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK4_2STRIKER,clearances,22.9394,66
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK4_2STRIKER,corners,4.9394,66
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK4_2STRIKER,crosses,4.5606,66
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK5_DEFENSIVE,clearances,20.2381,21
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK5_DEFENSIVE,corners,5.4286,21
FAMILY_x_FAMILY,BACK4_2STRIKER,BACK5_DEFENSIVE,crosses,4.619,21
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK3_OTHER,clearances,35.5,4
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK3_OTHER,corners,4.5,4
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK3_OTHER,crosses,3.0,4
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK3_WINGBACK,clearances,24.4211,19
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK3_WINGBACK,corners,4.0526,19
FAMILY_x_FAMILY,BACK5_DEFENSIVE,BACK3_WINGBACK,crosses,4.0,19
