fixture_id,competition,competition_name_distance,self_noise_p90,exceeds_noise,flag
mt_978814872,champ,0.0643,0.0643,False,OK
mt_581147561,champ,0.25,0.0,True,COMPETITION_NAME_SENSITIVITY
mt_972821383,epl,0.0606,0.0227,True,COMPETITION_NAME_SENSITIVITY
mt_629495329,laliga,0.0227,0.1136,False,OK
mt_408750625,laliga2,0.0152,0.0455,False,OK
mt_584193286,ligue1,0.0606,0.0682,False,OK
mt_257018883,ligue2,0.0682,0.0455,True,COMPETITION_NAME_SENSITIVITY
mt_012238074,champ,0.2214,0.0329,True,COMPETITION_NAME_SENSITIVITY
mt_196560601,epl,0.0152,0.0076,True,COMPETITION_NAME_SENSITIVITY
mt_257078632,laliga,0.0,0.0152,False,OK
mt_361806747,laliga2,0.2803,0.0076,True,COMPETITION_NAME_SENSITIVITY
mt_257018652,ligue1,0.0682,0.0,True,COMPETITION_NAME_SENSITIVITY
mt_362652308,ligue2,0.0152,0.0909,False,OK
