mechanism_key,mean_ablation_norm,mean_self_noise_norm,sensitivity_margin,exceeds_self_noise,flag
matchup_states:BOX_PRESSURE_MATCHUP,0.1111,0.0,0.1111,True,OK
matchup_states:CONTACT_MATCHUP,0.1944,0.0463,0.1481,True,OK
matchup_states:CORNER_MECHANISM_MATCHUP,0.1667,0.0463,0.1204,True,OK
matchup_states:SECOND_HALF_PRESSURE_SHIFT,0.6667,0.8333,-0.1667,False,UNSTABLE_SENSITIVITY
matchup_states:SHOT_CREATION_MATCHUP,0.1667,0.037,0.1296,True,OK
matchup_states:WIDE_PRESSURE_MATCHUP,0.1389,0.037,0.1019,True,OK
team_a_states:BOOKING_CONVERSION,0.1944,0.037,0.1574,True,OK
team_a_states:BOX_PRESSURE,0.1111,0.0,0.1111,True,OK
team_a_states:BOX_PROTECTION,0.1111,0.0185,0.0926,True,OK
team_a_states:CLEARANCE_DEPENDENCE,0.1389,0.0,0.1389,True,OK
team_a_states:CONTACT_INTENSITY,0.1111,0.0,0.1111,True,OK
team_a_states:CORNER_CONCESSION,0.1111,0.0185,0.0926,True,OK
team_a_states:CROSS_ALLOWANCE,0.1667,0.037,0.1296,True,OK
team_a_states:FOUL_DRAWING,0.1389,0.1481,-0.0093,False,UNSTABLE_SENSITIVITY
team_a_states:FOUL_TENDENCY,0.1389,0.037,0.1019,True,OK
team_a_states:SAVE_ENVIRONMENT,0.5,0.3333,0.1667,True,OK
team_a_states:SECOND_HALF_ESCALATION,1.0,1.0,0.0,False,UNSTABLE_SENSITIVITY
team_a_states:SET_PIECE_GENERATION,0.1389,0.0,0.1389,True,OK
team_a_states:SHOT_QUALITY,0.5,0.2778,0.2222,True,OK
team_a_states:SHOT_SUPPRESSION,0.1389,0.0185,0.1204,True,OK
team_a_states:SHOT_VOLUME,0.1111,0.0,0.1111,True,OK
team_a_states:TERRITORIAL_PRESSURE,0.1389,0.0185,0.1204,True,OK
team_a_states:WIDTH_PRESSURE,0.1389,0.0185,0.1204,True,OK
team_b_states:BOOKING_CONVERSION,0.1667,0.0278,0.1389,True,OK
team_b_states:BOX_PRESSURE,0.1389,0.0185,0.1204,True,OK
team_b_states:BOX_PROTECTION,0.1389,0.0,0.1389,True,OK
team_b_states:CLEARANCE_DEPENDENCE,0.1667,0.0648,0.1019,True,OK
team_b_states:CONTACT_INTENSITY,0.1111,0.0,0.1111,True,OK
team_b_states:CORNER_CONCESSION,0.1111,0.0,0.1111,True,OK
team_b_states:CROSS_ALLOWANCE,0.1667,0.037,0.1296,True,OK
team_b_states:FOUL_DRAWING,0.1389,0.1481,-0.0093,False,UNSTABLE_SENSITIVITY
team_b_states:FOUL_TENDENCY,0.1111,0.0,0.1111,True,OK
team_b_states:SAVE_ENVIRONMENT,0.5,0.3333,0.1667,True,OK
team_b_states:SECOND_HALF_ESCALATION,1.0,1.0,0.0,False,UNSTABLE_SENSITIVITY
team_b_states:SET_PIECE_GENERATION,0.1389,0.0185,0.1204,True,OK
team_b_states:SHOT_QUALITY,0.5,0.2778,0.2222,True,OK
team_b_states:SHOT_SUPPRESSION,0.1667,0.0185,0.1481,True,OK
team_b_states:SHOT_VOLUME,0.1389,0.0,0.1389,True,OK
team_b_states:TERRITORIAL_PRESSURE,0.1389,0.0278,0.1111,True,OK
team_b_states:WIDTH_PRESSURE,0.1389,0.0,0.1389,True,OK
