fixture_id,competition,orig_home_formation,orig_away_formation,shuffled_home_formation,shuffled_away_formation,shuffle_distance,self_noise_p90,exceeds_noise,flag
mt_978814872,champ,3-4-2-1,4-2-3-1,4-2-3-1,3-4-2-1,0.1857,0.0643,True,FORMATION_STEREOTYPE_SENSITIVITY
mt_581147561,champ,4-2-3-1,3-4-2-1,3-4-2-1,4-2-3-1,0.0455,0.0,True,FORMATION_STEREOTYPE_SENSITIVITY
mt_972821383,epl,4-2-3-1,4-1-4-1,4-1-4-1,4-2-3-1,0.053,0.0227,True,FORMATION_STEREOTYPE_SENSITIVITY
mt_629495329,laliga,4-2-3-1,4-3-3,4-3-3,4-2-3-1,0.1061,0.1136,False,OK
mt_408750625,laliga2,4-1-4-1,4-2-3-1,4-2-3-1,4-1-4-1,0.0455,0.0455,False,OK
mt_584193286,ligue1,4-2-3-1,4-3-3,4-3-3,4-2-3-1,0.0303,0.0682,False,OK
mt_257018883,ligue2,4-1-4-1,4-2-3-1,4-2-3-1,4-1-4-1,0.1591,0.0455,True,FORMATION_STEREOTYPE_SENSITIVITY
mt_012238074,champ,4-3-3,4-2-3-1,4-2-3-1,4-3-3,0.1974,0.0329,True,FORMATION_STEREOTYPE_SENSITIVITY
mt_196560601,epl,4-3-3,4-2-3-1,4-2-3-1,4-3-3,0.0833,0.0076,True,FORMATION_STEREOTYPE_SENSITIVITY
mt_257078632,laliga,4-2-3-1,4-3-3,4-3-3,4-2-3-1,0.25,0.0152,True,FORMATION_STEREOTYPE_SENSITIVITY
mt_361806747,laliga2,4-2-3-1,4-4-2,4-4-2,4-2-3-1,0.0682,0.0076,True,FORMATION_STEREOTYPE_SENSITIVITY
mt_257018652,ligue1,3-4-2-1,3-4-3,3-4-3,3-4-2-1,0.0606,0.0,True,FORMATION_STEREOTYPE_SENSITIVITY
