study,fixture_id,competition,packet_hash,call_index,status,generation_id,schema_version,prompt_version,packet_schema_version,resolved_model_id,input_tokens,output_tokens,latency_s,cost_usd,cache_hit,reject_field,reject_reason,created_unix
repeatability,mt_012249215,champ,9394cff3918eb79cd6139a05d2c7465554a50cbfb8dc80773c653455fb91db68,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29947,5201,49.155,0.167856,False,,,1789270379
repeatability,mt_012249215,champ,9394cff3918eb79cd6139a05d2c7465554a50cbfb8dc80773c653455fb91db68,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29947,4918,46.309,0.163611,False,,,1789270379
repeatability,mt_012249215,champ,9394cff3918eb79cd6139a05d2c7465554a50cbfb8dc80773c653455fb91db68,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29947,5436,50.293,0.171381,False,,,1789270379
repeatability,mt_978814872,champ,a8a34c819d9c482421aa329f5426dc9dd0d45fd58ef3cfd05f3aefaea6831a78,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30679,4636,44.356,0.161577,False,,,1789270512
repeatability,mt_978814872,champ,a8a34c819d9c482421aa329f5426dc9dd0d45fd58ef3cfd05f3aefaea6831a78,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30679,4821,44.768,0.164352,False,,,1789270512
repeatability,mt_978814872,champ,a8a34c819d9c482421aa329f5426dc9dd0d45fd58ef3cfd05f3aefaea6831a78,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30679,4619,43.934,0.161322,False,,,1789270512
repeatability,mt_581147561,champ,74fea1f29f2929a1c85079662c7146b5745ca208241b041828c982a102409c9c,0,LLM_STATE_REJECTED,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29230,5356,48.605,0.16803,False,<root>/team_a_states[13]/level,invalid enum value 'MEDIUM_LOW',1789270657
repeatability,mt_581147561,champ,74fea1f29f2929a1c85079662c7146b5745ca208241b041828c982a102409c9c,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29230,5348,48.381,0.16791,False,,,1789270657
repeatability,mt_581147561,champ,74fea1f29f2929a1c85079662c7146b5745ca208241b041828c982a102409c9c,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29230,5348,48.056,0.16791,False,,,1789270657
repeatability,mt_972821383,epl,4e81c7d6adc6046b63f82370d03841d1ab4578e2f6bc13d4cea9f20c3b5bea03,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,32243,4910,45.936,0.170379,False,,,1789270795
