mechanism,family,eligibility,coverage,pre_gate_eligibility,reject_reason,semantic_stable_frac,sensitivity_flag,sensitivity_margin,severe_disagree_frac,surrogate_s1,surrogate_verdict
BOOKING_CONVERSION,discipline,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1389,0.0,0.8621,PARTIALLY_REDUCIBLE
BOX_PRESSURE,attack,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1204,0.0,0.6667,PARTIALLY_REDUCIBLE
BOX_PRESSURE_MATCHUP,matchup,REJECTED,28,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1111,0.0,0.6667,PARTIALLY_REDUCIBLE
BOX_PROTECTION,defense,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",0.9643,OK,0.1389,0.0,0.537,IRREDUCIBLE_OR_NOISY
CLEARANCE_DEPENDENCE,defense,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1019,0.0,0.7241,PARTIALLY_REDUCIBLE
CONTACT_INTENSITY,discipline,REJECTED,56,REDUNDANT_WITH_DETERMINISTIC,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1111,0.0,0.9828,TRIVIALLY_REDUCIBLE
CONTACT_MATCHUP,matchup,REJECTED,28,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1481,0.0,0.8966,PARTIALLY_REDUCIBLE
CORNER_CONCESSION,defense,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1111,0.0,0.6897,PARTIALLY_REDUCIBLE
CORNER_MECHANISM_MATCHUP,matchup,REJECTED,28,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1204,0.0,0.4138,IRREDUCIBLE_OR_NOISY
CROSS_ALLOWANCE,defense,REJECTED,56,PHASE_C_ELIGIBLE,"NOT_PHASE_C_ELIGIBLE: formation_label_shuffle=FAIL (trip_rate=0.75, n=12), team_name_control=FAIL (trip_rate=0.6923, n=13), competition_name_control=FAIL (trip_rate=0.5385, n=13)",1.0,OK,0.1296,0.0,0.5345,IRREDUCIBLE_OR_NOISY
