fixture_id,competition,evidence_id,metric,base_metric,side,half,formation_condition,opponent_condition,value,raw_value,z_score,percentile,baseline,delta,sample_n,effective_n,shrinkage_level,evidence_level,venue,provider,reliability,temporal_status
mt_012249215,COMP_NEUTRAL,A_ATK_crosses_for_aff200,crosses_for,crosses,FOR,FULL,UNCONDITIONED,TEAM_B,5.0092,5.0092,0.4757,0.3125,3.9284,1.0808,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_ATK_total_shots_for_e9527a,total_shots_for,total_shots,FOR,FULL,UNCONDITIONED,TEAM_B,12.8492,12.8492,0.868,0.75,7.9259,4.9233,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_ATK_shots_on_target_for_0a3165,shots_on_target_for,shots_on_target,FOR,FULL,UNCONDITIONED,TEAM_B,3.3846,3.3846,1.0,0.75,3.3739,0.0107,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_ATK_shots_inside_box_for_29085e,shots_inside_box_for,shots_inside_box,FOR,FULL,UNCONDITIONED,TEAM_B,8.0246,8.0246,1.0,0.75,7.5169,0.5077,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_ATK_touches_in_box_for_c99890,touches_in_box_for,touches_in_box,FOR,FULL,UNCONDITIONED,TEAM_B,,,,,,,1,1,SHRUNK,ALL_VENUES,home,thestatsapi,LOW,UNAVAILABLE
mt_012249215,COMP_NEUTRAL,A_ATK_corners_for_b3af49,corners_for,corners,FOR,FULL,UNCONDITIONED,TEAM_B,6.52,6.52,0.848,0.6875,4.3123,2.2077,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_ATK_possession_for_de0411,possession_for,possession,FOR,FULL,UNCONDITIONED,TEAM_B,50.6215,50.6215,0.9574,0.75,29.8868,20.7347,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_ATK_throw_ins_for_8ad136,throw_ins_for,throw_ins,FOR,FULL,UNCONDITIONED,TEAM_B,24.3631,24.3631,1.0,0.75,22.3277,2.0354,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_ATK_final_third_entries_for_4c0b32,final_third_entries_for,final_third_entries,FOR,FULL,UNCONDITIONED,TEAM_B,64.7046,64.7046,1.0,0.75,59.4923,5.2123,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
mt_012249215,COMP_NEUTRAL,A_DEF_crosses_against_086307,crosses_against,crosses,AGAINST,FULL,UNCONDITIONED,TEAM_B,3.5262,3.5262,0.2734,0.4375,3.0291,0.4971,19,19,DIRECT,VENUE_OVERALL,home,thestatsapi,HIGH,PIT_SAFE
