fixture_id,competition,strata,mechanism_key,worst_severity,presence_stable,status_agree,instability_cause,statuses,confidences
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:BOX_PRESSURE_MATCHUP,0,True,True,STABLE,UNKNOWN|UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:CONTACT_MATCHUP,0,True,True,STABLE,NEUTRAL|NEUTRAL|NEUTRAL,MEDIUM|MEDIUM|MEDIUM
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:CORNER_MECHANISM_MATCHUP,0,True,True,STABLE,A_ADVANTAGE|A_ADVANTAGE|A_ADVANTAGE,MEDIUM_HIGH|MEDIUM_HIGH|MEDIUM_HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:SECOND_HALF_PRESSURE_SHIFT,0,False,True,STABLE,UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:SHOT_CREATION_MATCHUP,0,True,True,STABLE,A_ADVANTAGE|A_ADVANTAGE|A_ADVANTAGE,MEDIUM_HIGH|MEDIUM_HIGH|MEDIUM_HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:WIDE_PRESSURE_MATCHUP,1,True,False,STABLE,NEUTRAL|NEUTRAL|A_ADVANTAGE,MEDIUM_HIGH|MEDIUM_HIGH|MEDIUM_HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:BOOKING_CONVERSION,1,True,True,STABLE,MEDIUM|MEDIUM|MEDIUM,HIGH|MEDIUM_HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:BOX_PRESSURE,0,True,True,STABLE,UNKNOWN|UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:BOX_PROTECTION,0,True,True,STABLE,UNKNOWN|UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:CLEARANCE_DEPENDENCE,0,True,True,STABLE,MEDIUM|MEDIUM|MEDIUM,HIGH|HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:CONTACT_INTENSITY,0,True,True,STABLE,MEDIUM|MEDIUM|MEDIUM,HIGH|HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:CORNER_CONCESSION,0,True,True,STABLE,LOW|LOW|LOW,HIGH|HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:CROSS_ALLOWANCE,0,True,True,STABLE,LOW|LOW|LOW,HIGH|HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:FOUL_DRAWING,4,True,False,RESOLVED_VS_UNCERTAIN_FLIP,UNKNOWN|MEDIUM|UNKNOWN,UNKNOWN|MEDIUM_HIGH|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:FOUL_TENDENCY,0,True,True,STABLE,MEDIUM|MEDIUM|MEDIUM,HIGH|HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:SAVE_ENVIRONMENT,0,False,True,STABLE,UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:SECOND_HALF_ESCALATION,0,False,True,STABLE,UNKNOWN,UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:SET_PIECE_GENERATION,0,True,True,STABLE,MEDIUM|MEDIUM|MEDIUM,HIGH|HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:SHOT_QUALITY,4,True,False,RESOLVED_VS_UNCERTAIN_FLIP,UNKNOWN|MEDIUM|UNKNOWN,UNKNOWN|MEDIUM_HIGH|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:SHOT_SUPPRESSION,0,True,True,STABLE,MEDIUM|MEDIUM|MEDIUM,HIGH|HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:SHOT_VOLUME,0,True,True,STABLE,MEDIUM|MEDIUM|MEDIUM,HIGH|HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:TERRITORIAL_PRESSURE,0,True,True,STABLE,MEDIUM|MEDIUM|MEDIUM,MEDIUM_HIGH|MEDIUM_HIGH|MEDIUM_HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:WIDTH_PRESSURE,0,True,True,STABLE,MEDIUM|MEDIUM|MEDIUM,MEDIUM_HIGH|MEDIUM_HIGH|MEDIUM_HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_b_states:BOOKING_CONVERSION,1,True,False,STABLE,LOW|MEDIUM|MEDIUM,HIGH|MEDIUM_HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_b_states:BOX_PRESSURE,0,True,True,STABLE,UNKNOWN|UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_b_states:BOX_PROTECTION,0,True,True,STABLE,UNKNOWN|UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN|UNKNOWN
