best_feature,best_multi,best_simple,distinct_labels,insufficient_coverage,mechanism,n_fixtures,s0_base_rate,s1_best_single,s2_threshold,s3_logistic,s4_tree,s5_interaction,verdict
delta_mean,0.8621,0.8621,3,,BOOKING_CONVERSION,58,0.8621,0.8621,0.8621,0.8621,0.8621,0.8621,PARTIALLY_REDUCIBLE
delta_mean,0.6667,0.6667,4,,BOX_PRESSURE,54,0.6667,0.6667,0.6667,0.6667,0.6481,0.6481,PARTIALLY_REDUCIBLE
z_mean,0.5185,0.6667,3,,BOX_PRESSURE_MATCHUP,27,0.4815,0.6667,0.6667,0.4815,0.3333,0.5185,PARTIALLY_REDUCIBLE
fc_z_mean,0.4444,0.537,3,,BOX_PROTECTION,54,0.4815,0.537,0.537,0.3704,0.4444,0.3333,IRREDUCIBLE_OR_NOISY
n_features,0.6724,0.7241,3,,CLEARANCE_DEPENDENCE,58,0.7241,0.7241,0.7241,0.6724,0.5517,0.6552,PARTIALLY_REDUCIBLE
delta_mean,0.9828,0.9828,2,,CONTACT_INTENSITY,58,0.9828,0.9828,0.9828,0.9828,0.9828,0.9828,TRIVIALLY_REDUCIBLE
delta_mean,0.8966,0.8966,3,,CONTACT_MATCHUP,29,0.8966,0.8966,0.8966,0.8966,0.8966,0.8966,PARTIALLY_REDUCIBLE
n_features,0.6724,0.6897,4,,CORNER_CONCESSION,58,0.6897,0.6897,0.6897,0.6724,0.5345,0.6724,PARTIALLY_REDUCIBLE
z_min,0.4138,0.4138,3,,CORNER_MECHANISM_MATCHUP,29,0.0,0.4138,0.4138,0.2069,0.4138,0.2414,IRREDUCIBLE_OR_NOISY
fc_z_mean,0.5517,0.5345,4,,CROSS_ALLOWANCE,58,0.5,0.5345,0.5345,0.4828,0.5517,0.431,IRREDUCIBLE_OR_NOISY
delta_mean,0.931,0.931,3,,FOUL_TENDENCY,58,0.931,0.931,0.931,0.931,0.931,0.931,TRIVIALLY_REDUCIBLE
fc_z_mean,0.7586,0.7759,3,,SET_PIECE_GENERATION,58,0.7759,0.7759,0.7759,0.7586,0.6034,0.7586,PARTIALLY_REDUCIBLE
fc_z_mean,0.3793,0.5172,3,,SHOT_CREATION_MATCHUP,29,0.4138,0.5172,0.5172,0.3448,0.3448,0.3793,IRREDUCIBLE_OR_NOISY
,,,1,True,SHOT_QUALITY,4,,,,,,,
fc_z_mean,0.431,0.5172,3,,SHOT_SUPPRESSION,58,0.5,0.5172,0.5172,0.431,0.2414,0.431,IRREDUCIBLE_OR_NOISY
z_mean,0.6552,0.7069,3,,SHOT_VOLUME,58,0.6724,0.7069,0.7069,0.6552,0.5345,0.6552,PARTIALLY_REDUCIBLE
n_features,0.6034,0.6552,4,,TERRITORIAL_PRESSURE,58,0.6552,0.6552,0.6552,0.6034,0.5345,0.5862,PARTIALLY_REDUCIBLE
fc_z_mean,0.5172,0.5172,3,,WIDE_PRESSURE_MATCHUP,29,0.4138,0.5172,0.5172,0.5172,0.2759,0.4483,IRREDUCIBLE_OR_NOISY
n_features,0.5,0.5517,4,,WIDTH_PRESSURE,58,0.5517,0.5517,0.5517,0.4138,0.5,0.4138,IRREDUCIBLE_OR_NOISY
