fixture_id,competition,team_name_distance,self_noise_p90,exceeds_noise,flag
mt_978814872,champ,0.1214,0.0643,True,TEAM_NAME_SENSITIVITY
mt_581147561,champ,0.25,0.0,True,TEAM_NAME_SENSITIVITY
mt_972821383,epl,0.1591,0.0227,True,TEAM_NAME_SENSITIVITY
mt_629495329,laliga,0.0758,0.1136,False,OK
mt_408750625,laliga2,0.0076,0.0455,False,OK
mt_584193286,ligue1,0.0682,0.0682,False,OK
mt_257018883,ligue2,0.0985,0.0455,True,TEAM_NAME_SENSITIVITY
mt_012238074,champ,0.3187,0.0329,True,TEAM_NAME_SENSITIVITY
mt_196560601,epl,0.0682,0.0076,True,TEAM_NAME_SENSITIVITY
mt_257078632,laliga,0.0152,0.0152,False,OK
mt_361806747,laliga2,0.1061,0.0076,True,TEAM_NAME_SENSITIVITY
mt_257018652,ligue1,0.0682,0.0,True,TEAM_NAME_SENSITIVITY
mt_362652308,ligue2,0.1818,0.0909,True,TEAM_NAME_SENSITIVITY
