side,mechanism,n,distinct_levels,spearman_ncited_vs_level,best_1rule_agreement,trivially_reproducible
matchup_states,BOX_PRESSURE_MATCHUP,23,3,0.1858,0.5652,False
matchup_states,CONTACT_MATCHUP,26,3,0.3265,0.9615,True
matchup_states,CORNER_MECHANISM_MATCHUP,26,3,0.0222,0.7692,False
matchup_states,SHOT_CREATION_MATCHUP,26,3,-0.425,0.8846,False
matchup_states,TERRITORIAL_PRESSURE,1,1,,,False
matchup_states,WIDE_PRESSURE_MATCHUP,26,4,-0.0496,0.9231,True
team_a_states,BOOKING_CONVERSION,26,2,0.4291,1.0,True
team_a_states,BOX_PRESSURE,21,3,-0.0753,0.9524,True
team_a_states,BOX_PROTECTION,21,3,0.1481,0.8571,False
team_a_states,CLEARANCE_DEPENDENCE,26,2,0.2472,0.8462,False
team_a_states,CONTACT_INTENSITY,26,1,0.6759,1.0,True
team_a_states,CORNER_CONCESSION,26,3,0.3149,0.8462,False
team_a_states,CROSS_ALLOWANCE,25,3,-0.0169,0.72,False
team_a_states,FOUL_DRAWING,26,3,0.7463,0.9615,True
team_a_states,FOUL_TENDENCY,26,2,0.3135,1.0,True
team_a_states,SET_PIECE_GENERATION,26,3,0.3716,0.8462,False
team_a_states,SHOT_SUPPRESSION,26,3,0.3388,0.8846,False
team_a_states,SHOT_VOLUME,26,3,0.3559,0.9231,True
team_a_states,TERRITORIAL_PRESSURE,26,3,0.4899,0.8077,False
team_a_states,WIDTH_PRESSURE,26,3,0.1015,0.6923,False
team_b_states,BOOKING_CONVERSION,26,3,0.492,0.9231,True
team_b_states,BOX_PRESSURE,21,3,0.2026,0.9524,True
team_b_states,BOX_PROTECTION,21,2,-0.2273,1.0,True
team_b_states,CLEARANCE_DEPENDENCE,26,2,0.2424,0.6538,False
team_b_states,CONTACT_INTENSITY,26,2,0.5856,0.8846,False
team_b_states,CORNER_CONCESSION,26,3,0.2164,0.8462,False
team_b_states,CROSS_ALLOWANCE,25,3,0.0469,0.88,False
team_b_states,FOUL_DRAWING,26,3,0.6103,0.9231,True
team_b_states,FOUL_TENDENCY,26,3,0.5501,0.8846,False
team_b_states,SET_PIECE_GENERATION,26,3,0.3183,0.9615,True
team_b_states,SHOT_SUPPRESSION,26,3,0.3026,1.0,True
team_b_states,SHOT_VOLUME,26,3,0.2246,0.9615,True
team_b_states,TERRITORIAL_PRESSURE,26,2,0.0824,1.0,True
team_b_states,WIDTH_PRESSURE,26,3,-0.1672,0.6154,False
